[2023-10-20 17-42-26] VALID | Epoch 27 | Loss : 8.2186 | MAE : 906.1179 | LR : 0.083067
[2023-10-20 17-43-09] TRAIN | Epoch 28 | Loss : 8.3100 | MAE : 81.0340 | LR : 0.081873
[2023-10-20 17-43-15] VALID | Epoch 28 | Loss : 8.2186 | MAE : 121.0296 | LR : 0.081873
[2023-10-20 17-43-50] TRAIN | Epoch 29 | Loss : 8.3100 | MAE : 81.0616 | LR : 0.080647
[2023-10-20 17-43-57] VALID | Epoch 29 | Loss : 8.2186 | MAE : 346.2138 | LR : 0.080647
[2023-10-20 17-44-48] TRAIN | Epoch 30 | Loss : 8.3100 | MAE : 81.5685 | LR : 0.079391
[2023-10-20 17-44-56] VALID | Epoch 30 | Loss : 8.2186 | MAE : 671.4544 | LR : 0.079391
[2023-10-20 17-45-29] TRAIN | Epoch 31 | Loss : 8.3086 | MAE : 83.0984 | LR : 0.078106
[2023-10-20 17-45-36] VALID | Epoch 31 | Loss : 8.2186 | MAE : 19231.3966 | LR : 0.078106
[2023-10-20 17-46-09] TRAIN | Epoch 32 | Loss : 8.3100 | MAE : 84.2940 | LR : 0.076794
[2023-10-20 17-46-16] VALID | Epoch 32 | Loss : 8.2186 | MAE : 297.8115 | LR : 0.076794
[2023-10-20 17-46-47] TRAIN | Epoch 33 | Loss : 8.3100 | MAE : 84.8183 | LR : 0.075455
[2023-10-20 17-46-55] VALID | Epoch 33 | Loss : 8.2186 | MAE : 174.1379 | LR : 0.075455
[2023-10-20 17-47-26] TRAIN | Epoch 34 | Loss : 8.3100 | MAE : 84.4111 | LR : 0.074090
[2023-10-20 17-47-34] VALID | Epoch 34 | Loss : 8.2186 | MAE : 370.3273 | LR : 0.074090
[2023-10-20 17-48-07] TRAIN | Epoch 35 | Loss : 8.3100 | MAE : 83.5196 | LR : 0.072702
[2023-10-20 17-48-15] VALID | Epoch 35 | Loss : 8.2186 | MAE : 361.2809 | LR : 0.072702
[2023-10-20 17-48-51] TRAIN | Epoch 36 | Loss : 8.3100 | MAE : 84.1111 | LR : 0.071292
[2023-10-20 17-48-58] VALID | Epoch 36 | Loss : 8.2186 | MAE : 67.7680 | LR : 0.071292
[2023-10-20 17-49-30] TRAIN | Epoch 37 | Loss : 8.3100 | MAE : 83.7175 | LR : 0.069860
[2023-10-20 17-49-37] VALID | Epoch 37 | Loss : 8.2186 | MAE : 314.3319 | LR : 0.069860
[2023-10-20 17-50-09] TRAIN | Epoch 38 | Loss : 8.3100 | MAE : 84.1514 | LR : 0.068409
[2023-10-20 17-50-15] VALID | Epoch 38 | Loss : 8.2186 | MAE : 317.6949 | LR : 0.068409
[2023-10-20 17-50-50] TRAIN | Epoch 39 | Loss : 8.3100 | MAE : 84.0125 | LR : 0.066940
[2023-10-20 17-50-58] VALID | Epoch 39 | Loss : 8.2186 | MAE : 430.2690 | LR : 0.066940
[2023-10-20 17-51-34] TRAIN | Epoch 40 | Loss : 8.3100 | MAE : 83.2296 | LR : 0.065454
[2023-10-20 17-51-41] VALID | Epoch 40 | Loss : 8.2186 | MAE : 148.0288 | LR : 0.065454
[2023-10-20 17-52-18] TRAIN | Epoch 41 | Loss : 8.3100 | MAE : 84.3680 | LR : 0.063953
[2023-10-20 17-52-25] VALID | Epoch 41 | Loss : 8.2186 | MAE : 86.8275 | LR : 0.063953
[2023-10-20 17-53-02] TRAIN | Epoch 42 | Loss : 8.3100 | MAE : 84.1299 | LR : 0.062438
[2023-10-20 17-53-10] VALID | Epoch 42 | Loss : 8.2186 | MAE : 193.0202 | LR : 0.062438
[2023-10-20 17-53-43] TRAIN | Epoch 43 | Loss : 8.3100 | MAE : 84.3469 | LR : 0.060911
[2023-10-20 17-53-50] VALID | Epoch 43 | Loss : 8.2186 | MAE : 168.5819 | LR : 0.060911
[2023-10-20 17-54-21] TRAIN | Epoch 44 | Loss : 8.3100 | MAE : 84.9177 | LR : 0.059373
[2023-10-20 17-54-27] VALID | Epoch 44 | Loss : 8.2186 | MAE : 301.1048 | LR : 0.059373
[2023-10-20 17-54-59] TRAIN | Epoch 45 | Loss : 8.3100 | MAE : 83.5921 | LR : 0.057826
[2023-10-20 17-55-05] VALID | Epoch 45 | Loss : 8.2186 | MAE : 500.9816 | LR : 0.057826
